Title
1. The Shawshank Redemption
2. The Godfather
3. The Dark Knight
4. The Godfather Part II
5. 12 Angry Men
6. Schindler's List
7. The Lord of the Rings: The Return of the King
8. Pulp Fiction
9. The Lord of the Rings: The Fellowship of the Ring
"10. The Good, the Bad and the Ugly"
11. Forrest Gump
12. Fight Club
13. The Lord of the Rings: The Two Towers
14. Inception
15. Star Wars: Episode V - The Empire Strikes Back
16. The Matrix
17. Goodfellas
18. One Flew Over the Cuckoo's Nest
19. Se7en
20. It's a Wonderful Life
21. Interstellar
22. Seven Samurai
23. The Silence of the Lambs
24. Saving Private Ryan
25. City of God
26. Life Is Beautiful
27. The Green Mile
28. Terminator 2: Judgment Day
29. Star Wars: Episode IV - A New Hope
30. Spider-Man: Across the Spider-Verse
31. Back to the Future
32. Spirited Away
33. The Pianist
34. Parasite
35. Psycho
36. Gladiator
37. The Lion King
38. Léon: The Professional
39. The Departed
40. American History X
41. Whiplash
42. The Prestige
43. Grave of the Fireflies
44. Harakiri
45. The Usual Suspects
46. Casablanca
47. The Intouchables
48. Modern Times
49. Cinema Paradiso
50. Rear Window
51. Once Upon a Time in the West
52. Alien
53. City Lights
54. 12th Fail
55. Apocalypse Now
56. Django Unchained
57. Memento
58. WALL·E
59. Raiders of the Lost Ark
60. The Lives of Others
61. Sunset Blvd.
62. Paths of Glory
63. Avengers: Infinity War
64. Spider-Man: Into the Spider-Verse
65. The Shining
66. Witness for the Prosecution
67. The Great Dictator
68. Aliens
69. Inglourious Basterds
70. The Dark Knight Rises
71. American Beauty
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
73. Oldboy
74. Coco
75. Amadeus
76. Toy Story
77. Oppenheimer
78. The Boat
79. Braveheart
80. Avengers: Endgame
81. Joker
82. Princess Mononoke
83. Good Will Hunting
84. Your Name.
85. Once Upon a Time in America
86. 3 Idiots
87. High and Low
88. Singin' in the Rain
89. Capernaum
90. Requiem for a Dream
91. Come and See
92. Toy Story 3
93. Star Wars: Episode VI - Return of the Jedi
94. Eternal Sunshine of the Spotless Mind
95. The Hunt
96. 2001: A Space Odyssey
97. Reservoir Dogs
98. Ikiru
99. Lawrence of Arabia
100. The Apartment
101. Citizen Kane
102. North by Northwest
103. M
104. Vertigo
105. Double Indemnity
106. Scarface
107. Amélie
108. Incendies
109. Full Metal Jacket
110. A Clockwork Orange
111. Heat
112. Up
113. To Kill a Mockingbird
114. The Sting
115. A Separation
116. Indiana Jones and the Last Crusade
117. Hamilton
118. Die Hard
119. Metropolis
120. Like Stars on Earth
121. Snatch
122. Bicycle Thieves
123. L.A. Confidential
124. 1917
125. Taxi Driver
126. Downfall
127. Dangal
128. Poor Things
129. For a Few Dollars More
130. Batman Begins
131. Some Like It Hot
132. The Wolf of Wall Street
133. The Kid
134. Green Book
135. Top Gun: Maverick
136. The Father
137. All About Eve
138. Judgment at Nuremberg
139. The Truman Show
140. There Will Be Blood
141. Shutter Island
142. Casino
143. Ran
144. Jurassic Park
145. Pan's Labyrinth
146. The Sixth Sense
147. Unforgiven
148. A Beautiful Mind
149. No Country for Old Men
150. The Treasure of the Sierra Madre
151. Yojimbo
152. The Thing
153. Kill Bill: Vol. 1
154. Monty Python and the Holy Grail
155. The Great Escape
156. Finding Nemo
157. Rashomon
158. The Elephant Man
159. Howl's Moving Castle
160. Chinatown
161. Prisoners
162. Dial M for Murder
163. Gone with the Wind
164. V for Vendetta
"165. Lock, Stock and Two Smoking Barrels"
166. The Secret in Their Eyes
167. Raging Bull
168. Inside Out
"169. Three Billboards Outside Ebbing, Missouri"
170. Trainspotting
171. Spider-Man: No Way Home
172. The Bridge on the River Kwai
173. Fargo
174. Godzilla Minus One
175. Warrior
176. Klaus
177. Catch Me If You Can
178. Gran Torino
179. My Neighbor Totoro
180. Million Dollar Baby
181. Harry Potter and the Deathly Hallows: Part 2
182. Children of Heaven
183. Blade Runner
184. 12 Years a Slave
185. Before Sunrise
186. The Grand Budapest Hotel
187. Ben-Hur
188. Barry Lyndon
189. Gone Girl
190. The Gold Rush
191. Hacksaw Ridge
192. In the Name of the Father
193. Memories of Murder
194. On the Waterfront
195. The General
196. The Deer Hunter
197. Dead Poets Society
198. Wild Tales
199. Mad Max: Fury Road
200. Wild Strawberries
201. The Third Man
202. Sherlock Jr.
203. The Wages of Fear
"204. Monsters, Inc."
205. Jaws
206. How to Train Your Dragon
207. Mr. Smith Goes to Washington
208. Mary and Max
209. Ford v Ferrari
210. Ratatouille
211. The Seventh Seal
212. Room
213. The Big Lebowski
214. Tokyo Story
215. Rocky
216. Hotel Rwanda
217. Logan
218. Spotlight
219. Platoon
220. The Terminator
221. The Passion of Joan of Arc
222. Before Sunset
223. Jai Bhim
224. The Best Years of Our Lives
225. Rush
226. La haine
227. Network
228. The Exorcist
229. Stand by Me
230. Pirates of the Caribbean: The Curse of the Black Pearl
231. The Wizard of Oz
232. The Incredibles
233. Into the Wild
234. Hachi: A Dog's Tale
235. The Handmaiden
236. To Be or Not to Be
237. My Father and My Son
238. The Battle of Algiers
239. The Grapes of Wrath
240. Groundhog Day
241. The Sound of Music
242. Amores Perros
243. Rebecca
244. Cool Hand Luke
245. The Iron Giant
246. The Help
247. It Happened One Night
248. The 400 Blows
249. Pather Panchali
250. Aladdin
You have rated
More to explore
Charts
Top Box Office (US)
Most Popular Movies
Top Rated English Movies
Most Popular TV Shows
Top 250 TV Shows
Lowest Rated Movies
Most Popular Celebs
Top Rated Movies by Genre
Recently viewed
